Dreamzz Mobile And Communic..,"Ground Floor 17 Ananya Complex, Akshar Chowk, Vadodara - 390012, Opposite Hero Honda Showroom",07947256575
Krishna Mobile,"SB 38 B,  Windsor Plaza, R C Dutt Road, Alkapuri, Vadodara - 390007, Near Paras Pan",+(91)-9925073339
S K Mobile K10,"Shop No 77 Atlantis K 10 Graound Floor, Mandvi, Vadodara - 390001, Near Central Mall Road",+(91)-8866723942
Balaji Enterprise,"217, 3rd Floor, Radhakrushna Complex 2, Radha Krushna Cross Road, Akota, Vadodara - 390020, Opposite HDFC Bank",+(91)-265-2221221
Atmiya Hello,"9,10, Meghdhanush Complex,, Gotri Road,, Race Course Road, Vadodara - 390007, Near Bird Circle,",+(91)-265-2355555
Maa Bhavani Mobile,"Shop No G 3 Krishna Complex, Harinagar Char Rasta, Gotri, Vadodara - 390021, Near Iscon Mandir",+(91)-9898384154
Shiv Mobile,"Wadi Vadodara, Vadodara - 390023, Opposite Bharat Co Operative Bank, Near Wadi Tower",+(91)-9924455668
Friends Communication,"G-5, Shyamal complex, Tandalja road, Old Padra Road, Vadodara - 390020, Opp rajvee towers",+(91)-9909378632
Kuber Enterprise,"Shop No 2 3, Anand Arcade Complex, Water Tank Road, Karelibaug, Vadodara - 390018, Opposite Amrapali Complex",+(91)-9723801501
MAA Mobile,"8 Gangotri Complex, Baroda, Vadodara - 390018, Opp Vuda Gotri",+(91)-9824311881
Sagar Enterprise,"89/1, Guru Nanak Nagar, Chhani Jakat Naka, Chhani Road, Vadodara - 390024, Near Gurudwara",+(91)-9913996009
City Mobile,"Gendi Gate Road, Vadodara - 390017, Opposite Jumma Masjid",+(91)-9898692071
Kelvin Mobiles,"Chowkhandi, Vadodara - 390017, Chowkhandi Main Road",+(91)-9662608758
Sama Mobile,"Panigate Bhadra Kacheri Road, B/S Limvali Masjid, Pani Gate, Pani Gate, Vadodara - 390019",+(91)-9974598289
Ankur Communication,"E/16, Ab, Vrundavan Township, Harni Road, Vadodara - 390006, Near Sangam Cross Roads",
Jay Ambe Mobile,"Rachna Avenue, GF7 Near Icici Bank Opp, Axis Bank, Gotri Road, Vadodara - 390021, Near Axis Bank",+(91)-8487012575
Perfect Communication,"Shreeram Chamber, Alkapuri, Vadodara - 390007",+(91)-9924761765
Mobile Track,"G-3, Vraj Siddhi Tower, Main Road, Rajmahal Road, Vadodara - 390001, Near Market Cross Road",+(91)-8866082755
Lata Electronic,"Shop No3,Shri Ram Complex, Alkapuri, Vadodara - 390007",+(91)-9825098000
Allianz Infocom Pvt Ltd,"301, Swastik Centre, Atmajyoti Ellorapark Road, Race Course Road, Vadodara - 390007",+(91)-265-6585355
The Mobile Store,"Unit No.23b,Second Floor, Inorbit Mall, Alembic Road, Gorwa Vadodara, Vadodara - 390003",+(91)-9228000752
Smart Phone,"F/2, Spring Field Complex, Harinagar Cross Road, Gotri Road, Vadodara - 390021",+(91)-0265-2394990
Mobile World & Stationaries,"21 Manorath Shopping Centre, T.P13 Channi Jakat Naka, Vadodara, Vadodara - 390023",+(91)-8866316511
Krishna Mobile,"Ankur Avenue, Gotri Road, Vadodara - 390021, Opposite Kishan Complex",
T Mobile,"Alembic Road, Alembic, Vadodara - 390003, Opposite Uco Bank, Near Gorwa Industrial Estate Road",+(91)-8758166888
V K Mobile,"Shop No 103, 1st Floor, Akshar Plaza, Nizampura Main Road, Nizampura, Vadodara - 390002, Near Govardhannathji Haveli, Opposite Ghelani Petrol Pump",+(91)-0265-2788818
Sayaji Mobile,"11,Gangotri Complex, Gotri Road, Vadodara - 390021, Nr. Kishan Complex",+(91)-8128131520
Javed Mobiles,"64 Ayesha Park Shopcenter, Tandalja, Vadodara - 390018, Opp Jp Police Station",+(91)-9879332600
Pooja Mobile sales & servic..,"Gf-3, Balaji Arcade,, B/s Mujmahuda petrol pump, Munjmohda, Vadodara - 390020, Nr Shivaji circle",+(91)-9574337771
Krishna Electronics Sales A..,"4, Ambica Shopping, Chandramauleshwar Nagar, Gotri, Gotri Road, Vadodara - 390021, Opposite Gotri Water Tank",+(91)-9824915951
Shiv Mobiles,"Sant Kanwar Colony, Warasiya, Vadodara - 390006",+(91)-8128313506
X Treme Mobile,"Shop No 15, Ground Floor, Saraswati Ccomplex, Main Road, Manjalpur, Vadodara - 390011, Near Atithi Gruh",+(91)-9016286222
Most Wanted Mobile Shop & C..,"Shop No 3, Ground Floor, Ambika Complex, Gotri Road, Vadodara - 390021, Opposite Water Tank",+(91)-7567297635
Govardhan Xerox,"13, Patel Plaza, Harinagar Char Rasta, Gotri Road, Vadodara - 390021",
Lux Communications,"Shop No 15,Emperor Complex, Main Road, Fatehgunj, Vadodara - 390008, Behind Goodies Restaurant",+(91)-9825980345
Like Computer & Mobiles,"Vasna Bhayli Link Road, Ashwamegh Nagar, Tandalja, Vadodara - 390012",+(91)-9173519822
Impression,"101, Annapurna Complex, Manjalpur, Vadodara - 390011, Nr.angan Tower",+(91)-265-2636405
Mahavir Traders,"Abhishek Society, Tp 13, Chhani Jakatnaka, Vadodara - 390002",+(91)-9974150050
Mtek Retail Pvt Ltd,"F 1, Tower 4/A, Kashi Vishweshwar Township, Jetalpur Road, Vadodara - 390020, Above Swagat Restaurant",+(91)-9825369691
Sgp Enterprises,"Main Road, Pensionpura, Nizampura, Vadodara - 390002, Opposite Chhani Jakat Naka",+(91)-7801965444
SAI Krishna Mobile,"Sb 1 Kautilya Complex, Nr Sangam Char Rasta, B/S BOB, Harni Road, Harni Road, Vadodara - 390006",+(91)-9974027371
Talk Time Mobile Store,"Shop No 13 14, Rutukalash Complex,, Manjalpur, Vadodara - 390011, Near Tulsidham Char Rasta",+(91)-7874880970
Sana Mobile & Stationery,"Refinery Road, Vadodara - 390006, Opposite Gorwa Police Station",+(91)-8511990422
I Magic Mobile,"E/14 Megha Nagar Shopping Center, Zaver Nagar Bus Stand,, Waghodia Road, Vadodara - 390025, Opposite Darsh Hospital",+(91)-8347413333
Pooja mobile,"GF/-3Balaji Arced, Munjmohda, Vadodara - 390020, Near Sivaji Curcle",+(91)-8003213602
R K Mobile Shop,"Opp Dhwani Hospital,Raopura,Baroda, Raopura, Vadodara - 390001",+(91)-9979227998
Poojara Telecom Pvt Ltd,"A-2 Suhas Society, Water Tank Road, Karelibaug, Vadodara - 390018, Opposite Lal Bahadur Shashtri School",+(91)-9879239109
Phonewale,"57-58, ARPAN COMPLEX, DELUX Cross Road, Nizampura, Vadodara - 390002, OPPosite HANUMAN TEMPLe",+(91)-7016097500
Akshar Mobile,"S 34, Jethwani Super Market, Dabhoi, Vadodara - 390001",+(91)-9638144577
Micro Mobile,"21,Atladara, Atladara, Atladara, Vadodara - 390012, Behind Pramukh Swami Hospital, Behind Pramukh Swami Hospital",
Mannat Mobile,"Outpost Police Station, Halol Vadodara Road, Jarod, Vadodara - 391510, Near",+(91)-7990738355
Kanha Mobile Point,"Gf 14 , Kanha Heights, Dabhoi Somatalav Ring Road, Dabhoi Road, Vadodara - 390004, Opp.Satkat Party Plot",+(91)-9824767085
Bharmal Sales Corporation,"19, Ground Floor, Silver Arcade, Munjmohda, Vadodara - 390020, Near Orchid Hotel",+(91)-9510752553
Guru Nanak Mobile,"Mari Mata Lane, Rajmahal Road, Vadodara - 390001, Near Fire Station, Dandi Bazar",+(91)-9725030312
Kuldevi Mobile,"Shop No 17/497, Satyam Apartment, Gorwa, Vadodara - 390016, Near ITI Circle",+(91)-7043447207
Veer Enterprise,"A-42, Windsor Plaza Ground Floor, R C Dutt Road, Alkapuri, Vadodara - 390007",+(91)-9824080534
Z Connect,"GF-2, Capri House, Alkapuri, Vadodara - 390007, B/h. Express Hotel,",+(91)-9825035277
Ready Mobile,"Alkapuri, Mandvi, Vadodara - 390001",+(91)-9974232750
Shree Mobile,"Gf -4 Orient Business Center, Sayaji Ganj Main Road, Sayaji Ganj, Vadodara - 390020, Opp, Suraj Plaza",+(91)-9974329085
SAI Enterprise,"Sb/5, Silverline Complex, Sayaji Ganj, Vadodara - 390020, B/S World Trade Centre",+(91)-9824361637
Supreme Mobile & Accessorie..,"Silver Appartment, Maheshwar Nagar Society, Shubhanpura, Subhanpura Road, Subhanpura, Vadodara - 390007",+(91)-7359719307
J J Mobiles,"Main road, Fatehgunj, Vadodara - 390008, Near SBI",+(91)-7048171625
PNS Mobile Shopee,"9, Ground Floor, Saffron Tower, Fateganj, Vadodara - 390002, Opposite Church",+(91)-7383569000
Cosmos Communication,"A-28, Gajanand Complex Semibasement, Old Padra Road, Old Padra Road, VADODARA - 390012, Opp Tube Company",+(91)-9898073222
Communication Unlimited,Vadodara - 390023,+(91)-265-2305119
Shreeji Mobile,"06, Arkiview Tower, Atmajyoti Ashram Road, Subhanpura, Vadodara - 390023, Near  Ward Office No 1o",+(91)-9898958924
Siddharth Corporation,"9 Pavan Park Society, Old Chhani Road, Chhani Road, Vadodara - 390024, Opposite A S Motors",+(91)-9227415313
Phones 4 U,"2, 1st Floor,  Chanakya Complex, New Ipcl Road, High Tension Cross Road, Subhanpura, Vadodara - 390023, Near Jain Temple",+(91)-265-2290604
T Mobile Shop,"Opp.Amar Car Showroom, Gorwa, Vadodara - 390016, Alembic Road",+(91)-9879519477
Anjali Mobile And Electroni..,"10, Ground Floor, Om Complex, Vasna Road, Vadodara - 390007, Opposite Hdfc Bank",+(91)-7666588777
Mbm Mobile Ltd.,"Ff-28, Old Padra Road, Vadodara - 390020",+(91)-0265-2351445
Mobile Junction,"Shop 42 Shivdarshan Complex, Vasna Road, Vasna Road, Vadodara - 390007, Opposite Union Bank Atm Near Urav Hospital",+(91)-9879206553
Patni Corporation,"505 Yashkamal Building, Tilak Road, Sayaji Ganj, VADODARA - 390020",+(91)-9924133111
Mobile Magic,"Akota, Vadodara - 390020, Near Shrenik Park",+(91)-8320914443
Maa Ashapura Mobile,"Shop No 4, Balaji Apartment, Munjmohda, Vadodara - 390020, Near Munjmohda Circle",+(91)-9265273967
Bombay Mobile Shop,"Laxmi Chember, Nava Yard Road, Vadodara - 390002, Near Chhani Road",+(91)-9978344032
Mannan Services,"9, Shailesh Chamber, Navabwada, Roupura, Roupura Tower, Vadodara - 390001, Near Roupura Tower Gpo",+(91)-9825172095
Rudra Mobile,"Outside Bharwadi Darwaza, Vadodara - 390001, Above Goli Pan Centre",+(91)-9998541719
Z World Mobile and More,"Shop No 2 Aadil Complex, Salatwada Main Road, Salatwada, Vadodara - 390001, Opp Sarda Mandir High School",+(91)-9998185557
Ravi Mobile,"Shop 2, Ground Floor, Soho Building, Old Padra Road, Vadodara - 390012, Malhar Point",+(91)-265-2345670
Maa Shakti Mobile Shop,"15/452, Mangal Deep Apartment, Gorwa, Vadodara - 390016, Near Gorwa Veg Market",+(91)-0265-2291060
Shivani Mobile,"Shop No-16,Alaknanda Complex Ground Floor, Opp Petrol Pump, Munjmahuda, Akshar Chowk, Vadodara - 390012, Opp, Petrol Pump",+(91)-8866949455
Ajay Mobile,"Panchyat Shopping Centre, Chhani Road, Vadodara - 390024, Near Bus Stand",+(91)-9898506950
Digital Xpress Mini,"Shop No. 22, Aastha Avenue, Housing Board, New Ipcl Road, Gorwa Vadodara, Vadodara - 390003",+(91)-265-5239721
Archi Mobile Gallery,"B 5, Krishna Complex, Padra, Vadodara - 391440, Near New Bus Stand",+(91)-9724251711
Drashti Mobile,"4, Astha Avenue, Subhanpura, Vadodara - 390023, Near Anandvan",+(91)-8511160707
Phone X Mobile And Tablet S..,"Shop No G 3, Shyam Complex, Vasna Tandalja Road, Tandalja Road, Vadodara - 390020, Near SBI Bank",+(91)-7383477782
Shreeji Mobile,"Market Char Rasta, Rajmahal Rd., Rajmahal Road, Vadodara - 390001",+(91)-9558274987
Shri Gurukrupa Teleservices,"First Floor -16 Anannya Complex, Akshar Chowk, Old Padra Road, Vadodara - 390020, Old Padra Road",+(91)-9137002811
Shiv Shakti General And Sta..,"6 Dhanlaxmi Complex, Samta Road, Subhanpura, Vadodara - 390023, Near Samta Flats",+(91)-9898329596
The Mobile Store,"Opp Dalson Watch, Dandia Bazar, Dandia Bazar, Vadodara - 390001",+(91)-265-6457449
Gayatri Store,"A-5, Pavan Park, Chhani Road, Chhani Road, Vadodara - 390024, Opp. Roses Garden",+(91)-9426776674
Shah Sanatkumar & Company,"Bank Road, Mandvi, Vadodara - 390001, Near Mehta Pole",+(91)-9824349585
Indian Mobiles,"Sb-23, Vraj Siddhi Tower, Rajmahal Road, Vadodara - 390001, Near Market Cross Road",+(91)-8128312939
Audio Track Mobile,"Palace, Marimatas Lane, Marimatas Laneroad, Vadodara - 390001, Khndera Market",+(91)-8140718722
I Mobile Store,"GF 28, Vraj Siddhi Towers, Rajmhal Road, Rajmahal Road, Vadodara - 390001, Nr Market Char Rasta",+(91)-9898002419
Ankit All In One Shop,"B-94, Ram Nagar, Kalali Fatak Atladara, Atladara, Vadodara - 390012, Near Temenous Business Park",+(91)-9898721741
Sagar Mobile,"Sagar Mobile 19, Sunservan Soc, Near Dipika Garden, Karelibaug, Vadodara - 390018, Near Water Tank",+(91)-9909975464
Raj Stores Channi,"B/34,Pushpak Park, Chhani, Vadodara - 391740, Opp Kiran Motor",+(91)-9979854786
Honey bunny mobile shop,"akshar appartment nr opp bus stop, Samta Road, Subhanpura, Vadodara - 390023",+(91)-8469600456
Shri Rings N Tones The Mobi..,"B/H Dena Bank, Munshi Khancha, Mangal Bazar, Vadodara - 390001",+(91)-9974598778
Jiya Mobiles,"128, Padmavati Shopping Center, Laheripura, Laheripura, Vadodara - 390001",+(91)-9009007222
Techie World,"GF-25, Samnvay Saptarshi, Near Monalisa, Manjalpur, Vadodara - 390011, Besides Apollo Pharmacy",+(91)-9106412625
Eagle Mobile,"Dandia Bazar, Vadodara - 390001, Opp Telson, Near Fire Brigade Office",+(91)-9374857770
S R Mobile Shop,"Shop No 2, Laheripura, Vadodara - 390001, Near Zakariya Masjid, Behind Nyay Mandir Court",+(91)-9879856263
Rutvik Mobile Shop,"4, Shreeji Charan Society, Karelibaug, Vadodara - 390018, Behind Bright Day School",+(91)-7600808156
R V Mobile Shop,"Shop No 4, Sudharshan Complex, Anand Nagar Road, Karelibaug, Vadodara - 390018, Beside Prerak Bunglow",+(91)-9712340777
Om Sai Ram Mobile Accessori..,"57,Rukshamani Nagar, New Sama Road, New Sama, Vadodara - 391740, Opposite Bank Of Baroda",+(91)-9328639651
J B Mobile Shop,"Bajwada Main Road, Opp Vayudevta Temple, Bajwada, Bajwada, Vadodara - 390001",+(91)-8140251784
The Mobile Store,"Main Road, Akshar Chowk, Vadodara - 390012",+(91)-0265-6459601
The Galaxy Mobile Store,"GF-14 Kanha Platinum, Fulwadi Char Rasta, TP 13, Chhani Road, Vadodara - 390024, Opposite Nava Yard Police Station",+(91)-8000178886
Om Sai Mobile Point,"65, Tarun Nagar, Tp 13, Chhani Jakatnaka, Indu Chacha Lane, Tp 13, Vadodara - 391740",+(91)-8460600746
New Jay Ambe Electronics,"Gotri Road, Vadodara - 390021, Opposite Gotri Talav",+(91)-9327026677
Mobile Hut,"3 City Park Apartment, Sama Road, Sama Road, Vadodara - 390002, Opp ICICI Bank ATM Chanakyapuri",+(91)-9824412045
Fazal Mobile Repairing,"Gendi Gate Road ,Main Road, Gendi Gate, Ghantiyada, Sulemani Pol, Mandvi, Vadodara - 390001, Opposite Uco Bank",+(91)-265-2519972
Baroda Mobile,"Shop No3,Kanaiya Complex, T.P13, Chhani Jakat Naka, Chhani Road, Vadodara - 390024, Opposite Riddhisiddhi Hall",+(91)-8000083116
Big C Mobiles,"Krishna Villa Complex, Karelibaug, Vadodara - 390018, Near Kaka Ni Pavbhaji, Near Amit Nagar Circle",+(91)-9081155444
Harsiddhi Mobile,"14- Madhavpark Soc., Laxmipura Road, Subhanpura, Vadodara - 390023",+(91)-9904029129
B4U Mobile,"Gf 3 Vandan Enclave, Manjalpur Naka, Nr Lalbaug Petrol Pump, Manjalpur, Manjalpur, Vadodara - 390011",+(91)-9725354442
Bhagvanti Mobile,"Shop No 8, Chowkhandi Main Road, Chowkhandi, Vadodara - 390017, Opp.Bjidbhanjan Hanuman Temple",+(91)-9725301188
MAA Mobile Shop,"OM Prakash Estate, Dabhoi Road, Pratapnagar, Vadodara - 390004, Near Union Bank Of India",+(91)-9879315254
Heer Enterprise,"17, , Navrachna Complex, Anandvan Society, Sama Road , Raghuvir Nagar, Sama Road, Vadodara - 390002, Near Jalaram Temple",+(91)-9925200829
S.m. Mobiles Sales And Serv..,"Opposite Jalaram Temple, Gorwa, Vadodara - 390016, Near Refinery Road",+(91)-9662231824
Shri Bherunath Mobile,"A/1, Shree Ramnagar, New Sama Road, Sama, Vadodara - 391740, Opposite Amantran Party Plot, Near Canal",+(91)-9898535012
The Mobile Shop,"7 Panchsheel Complex, Harni Warasiya Ring Road, Gayatri Nagar, Vadodara - 390006",+(91)-8866944441
Gokul Provision Store,"Halwa Naka Road, Makarpura Industrial Estate, Vadodara - 390010, Gidc",+(91)-9374990602
Voice Telecom,"Yoge Nagar Road, Chhani, Vadodara - 391740, Opposite Ramakaka Mandir",+(91)-9825512222
Hello Vadodara,"101, Vama Square, Waghodia, Vadodara - 390019, Outside Panigate",+(91)-8488028000
Dev Mobiles,"1rajdhani Society, Harniwarasia Ring Road, Gayatri Nagar, Vadodara - 390006, Opposite Essar Petrol Pump",+(91)-9824450664
Sony Smart Phone Lounge - S..,"G- 9 & 10, Premier Chambers, Race Course Rd, Nr. ICICI Bank, Race Cource Circle, Alkapuri, Vadiwadi, Vadodara - 390006",+(91)-9662977777
A R Mobile AND Accessories,"PLOT  gf - 1 rang plaza, oppsite paratp high sachool, Kadak Bazar, Vadodara - 390001, sayajiganj",+(91)-9913434866
Jyoti Mobile,"Kamla Market, Marimata's Lane, Dandia Bazar, Vadodara - 390001, Near Fire Brigade",+(91)-8141271947
Baba Sai Mobile,"Rajmahal Road, Vadodara - 390001, Opposite Satya Vijay Farsan, Near Dayal Bhel No Khacho",+(91)-9898303154
Vidhi Mobile Shop,"Shop No-35, Jawaharbaug Society, Abhilasha Road, New Sama, Vadodara - 391740, Near Abhilasha Char Rasta",+(91)-8866371604
Super Mobile Sales & Servic..,"Shop No8,Shubhlaxmi Shopping Center, Outside Panigate, Ayurvedic 3 Rasta, Ayurvedic 3 Rastaajwa Road, Pani Gate, Vadodara - 390019",+(91)-9140033030
Palm World,"S5/32 1st Floor Silver Ook Complex, Makarpura, Vadodara - 390014, Opp Bhavens School & Near Makarpura Police Station",+(91)-265-2631687
Maa Shakti Mobile Service,"1 Akash Ganga Panchwati, Refinery Road, Gorwa, Vadodara - 390016",+(91)-9825293888
Patel Mobile Shop,"Gf 39, Shree Akshar Residency, Opposite Gayatri Temple, Waghodia Road, Vadodara - 390025",+(91)-9558054975
Kheteshwar Mobile,"B/2, Sainath Society, Gotri Vasna Road, Gotri Road, Vadodara - 390021, Near Geri Campus",+(91)-8849747449
Mr.Mobile,"Anand Baroda, Baroda, Vadodara - 390020, Opposite Hero Honda Show Room",+(91)-9924412519
In Touch Communication,"C-9, Prestige Complex, Sayaji Ganj, Vadodara - 390020, Opposite ICICI Bank",+(91)-9925116200
Vishnu Mobile,"Golden Trade Centre, Station Road, Vadodara HO, Vadodara - 390001, Near S.T Bus Depo",+(91)-9825352624
Dig Mobile Shop,"SB/4, Mahavir Chamber, Ellora Park Road, Ellora Park, Vadodara - 390023, Opposite Ellora Mill, Near Cash & Carry Cross Road",+(91)-0265-2280999
Bharti Mobile Enterprise,"B-1,Anuradha Complex, Race Course Road, Vadodara - 390007, Opposite Ellora Park Police Station,Below Dilip Studio",+(91)-9714499855
The Mobile Store,"Ground Floor, 13, Profit Centre, Sayaji Ganj, Vadodara - 390020",
Om Sai Mobile,"5 Surat Moti Complex, Subhanpura, Vadodara - 390007, Opposite Word No 10",+(91)-7383024344
Priyanka Communication,"Shop No. 2, Kishan Complex, Makrand Desai Road , Jawahar Nagar, Diwalipura, Vadodara - 390007, Opposite Yash Complex",+(91)-9726036811
Links Mobile,"B/14, Old Padra Road, Vadodara - 390012, Aksar Chowk",+(91)-265-2337174
Mayur Traders,Vadodara - 390001,+(91)-9228230529
Shrinath Telecommunication,"Diwanji Chambers, Char Rasta, Dandia Bazar, Vadodara - 390001, Opp Dalson Voice",+(91)-265-3208877
Ar Mobile,"Shop No 1 Dar Al Ashraf Complex, Phulwadi, T.P 13, Chhani Gorwa Road, Vadodara - 390002",+(91)-8401262013
Mobilise,"Gorwa, Vadodara - 390016",+(91)-7016017213
Priyu Mobile,"SAI Samruddhi Apartment, Marimatas Lane, Rajmahal Road, Marimata No Kancho Lane, Rajmahal Road, Vadodara - 390001, Near Madhyavarti School",+(91)-6354705569
Deep Mobile,"Sheth Chambers,, Rajmahal Road, Rajmahal Road, Vadodara - 390001, Mari Mata's Lane",+(91)-265-2414045
Sai Music & Mobile,"Khanderao Market Cross Road, Rajmahal Road, Vadodara - 390001, Near Mari Mata",+(91)-9979216946
Mobile Talk Shop,"Gg 6, Krishna Complex, Sardar Bhavan, Lane, Raopura, Vadodara - 390001",+(91)-9377193228
Iskons,"Dandia Bazar, Vadodara - 390001, Opposite SUR Sagar,Near Fire Brigade",+(91)-9328410738
Connectionz Mobile Repair S..,"Gotri Gam Road, Sarvodiy Moholo, Laxmipura, Vadodara - 391101",+(91)-9173204870
Prime The Mobile Shop,"2/2, VIP View Complex, Ground Floor, VIP Road, Karelibaug, Vadodara - 390018, Opp Bright School",+(91)-9925024262
Om Mobile Repairs,"Vidhya Vihar Society, D 10 Road , Ekta Nagar, New Sama, Vadodara - 391740, Near Subh Hospital",+(91)-9275404513
Best Mobile,"Shop no 16, Narsidham Complex, Harni main road, Harni Road, Vadodara - 390006, Near Sangam Char rasta",+(91)-9624721486
9 Mobiles,"13, Sheelalekh complex, Alkapuri, Vadodara - 390007, Opp. Mamta hotel",+(91)-9033956842
Kabir Mobile Shop,"Shop No 2  Chitrakut Chamber , Near Bank Of Baroda, RV Desai Road, Vadodara - 390001",+(91)-9913673310
Shree Ramdev Mobile,"Shop No. 21/5, Ramkrushna Nagar, GIDC Road, Manjalpur, Vadodara - 390011, Near Alwa Naka",+(91)-9898302366
Sagar Telecom,"Vaghodia, Vadodara - 391760",+(91)-9228299300
Mobile Care,"5- Gf, Ankur Avenue, Alkapuri, Vadodara - 390007, Near Vallabh Nagar Police Station",
Digital Communication,"Sb/3,Raj Castel Apartments, Ellora Park, Vadodara - 390023, Opp Kalpataru Super Market",+(91)-265-3088771
Riya Mobile Regime,"64, Vimalnath Resi Cum Plaza, H T Line Road, Subhanpura, Vadodara - 390023",
Mobile People,"409, Saffron Complex, Fateganj, Vadodara - 390002",+(91)-265-2701339
Sharthi Communication,"Shop 33, Surbhi Avenue, Old Chhani Road, Chhani Road, Vadodara - 390024",+(91)-9429514238
Mobile Menu,"Nagarwada Main Road, Nagarwada, Vadodara - 390001, Near Nishant Complex",
Shreeji Teleservices,Vadodara - 390001,+(91)-9228266625
Raj Communication,"2, Rameshwari Society, Vasna Road, Vadodara - 390007, Near Dmart",+(91)-9898495906
Dwarkesh Enterprise,"3, Shree Kesarit Complex, Raopura, Vadodara - 390001, Opp Sagar Talkies",+(91)-265-2411091
Hot Spot,"11-12, Khunj Plaza, Rajmahal Road, Vadodara - 390001, Opposite Raj Mahal Road",+(91)-265-2411134
Mahadev Mobile,"Shop No. 1, , Radha Krishna, Marimata Lane, Marimata Lanerajmahal Road, Sultanpura, Vadodara - 390001",+(91)-9879362887
R K Mobile Shop,"Siddharth Complex, Kharivav Road Gpo Road, Raopura, VADODARA - 390001, Jijamata Chowk",+(91)-9974903949
Roamin Mobile Shop,"14, Nageshwar Complex, VIP Road, Karelibaug, Vadodara - 390018",
Satnam Electronics,"Rajmahal Road, Vadodara - 390001, Panjrapole",+(91)-9904075033
Sagar Mobiles,"Ground Floor 1, Msa House, Gipcl Circle, Sama, Vadodara - 390008, Near Sbi Bank",+(91)-9913447777
